translation,label,channel,sample_rate,duration
እነዚሁ ድምጻውያን ለሚ ያሳዩት ትርኢት ክፍያ ያል ጠየቁ ሲሆን ከ አውሮፕላን ትኬት ጀምሮ ወጪያቸ ውን ራሳቸው መቻል እንደሚ ሹ መግለጻቸው ን ውስጥ አዋቂ ምንጮች አስረድ ተዋል,tr_1627_tr17028,1,8000,10.624
እነዚህ ማፈሪያ ዎች አለ አንዱ ዜናው ን ሲ ሰማ,tr_1777_tr18078,1,8000,5.504
ሊቀ ጳጳሱ ንም ስህተተ ኛ አድርጓ ቸዋል ዜና ቤተ ክርስቲያን,tr_3270_tr33071,1,8000,6.144
እንግሊዞች ፍጹም ልዩ ናቸው,tr_3629_tr37030,1,8000,4.096
ባልቻ ጐበዝ ተማሪ ስለሆነ ተሸላሚ እንዲሆን የ ትምህርት ማህበረሰብ በ አንድነት ወሰኑ,tr_10015_tr097097,1,8000,7.68
በጣም ስለሚ ወደው የ መኮንን ወንድም መኮንን ን መኳ ነው የሚለው,tr_10760_tr05128,1,8000,4.352
ተቃውሞ ና መልእክቱ መግቻ ሲያጣ ዳይሬክተሩ ለ ኢትዮጵያውያኑ አንድ የ ተማጽኖ መግለጫ መላካቸው ን ተከታት ለናል,tr_1813_tr19014,1,8000,8.192
አን ቶኔ ሌክ እንደ ገና ተ መልሰው መጡ,tr_8373_tr84014,1,8000,3.712
ሙሽራው ም ከነ አጃቢ ዎቹ በ ነገሩ ባለ ማቅማማት የ ሙሽራ ዋን ታናሽ እህት ይዘው ሄደ ዋል,tr_2223_tr23024,1,8000,6.4
የ ሱዳን አማጺ ዎች ኢትዮጵያ ንና ኤርትራ ን እየሸ መገሉ ነው,tr_8094_tr81095,1,8000,3.84
በ ኢትዮጵያ ውስጥ የግል ሬድዮ ና ቴሌቪዥን ጣቢያዎች ከ መጪው ግንቦት ወር ወዲህ እ ውን ሊ ሆኑ እንደሚ ችሉ ተዘገበ,tr_8389_tr84030,1,8000,8.576
በ አንድ ቀን ጥሩ ሆነው ይገኙ ና ያሸንፋ ል,tr_4312_tr44013,1,8000,4.224
በ መንግስት ና በ ተማሪዎች መካከል በ ተካሄደው በዚህ ውይይት መንግስት ተገቢ ናቸው ብሎ ያመነ ባቸውን የ ተማሪዎች ን ጥያቄዎች ተቀብ ሏል,tr_2501_tr26002,1,8000,12.544
ገንፎ ብዙ ጊዜ የሚ በላው በ ጐድጓዳ ሳ ህን ነው,tr_10020_tr097102,1,8000,4.608
በ ውሳኔው እኔ ም ሆንኩ ጓደኞቼ እንደ ማንኛውም ኢትዮፕያ ዊ ደስታ ይሰማ ናል,tr_1216_tr13017,1,8000,7.168
በ ኢትዮጵያ ያሉ የውጭ ጋዜጠኞች ን ሻእቢያ ከሰሰ,tr_7488_tr75089,1,8000,4.992
ከ መንግስታዊ ክለቦች ውጪ የ ወታደር ና ፖሊስ ክለቦች ም እንዲ ሁ ተጫዋቾች ን ያሰባስ ባሉ,tr_3685_tr37086,1,8000,9.856
የኤርትራ ባለስልጣናት የ ተኮሱ ት የ ኢትዮፕያ ወታደሮች ናቸው ብለዋል,tr_3678_tr37079,1,8000,5.632
ሱዳናዊ ያን ስደተኞች በ ቁጥጥር ስር እየ ዋሉ ናቸው,tr_7874_tr79075,1,8000,4.864
በዚህ ሁኔታ ላይ እያሉ ነው በ ባላንጣ ቸው ስኮላሪ ቡድን ሶስት ለ ሁለት ተሸንፈ ው አሁን ስ እኚህ ሰው እ ያበዙት ነው ያስ ባላቸው,tr_5535_tr56036,1,8000,7.296
ምናልባት ም ሊያስ ሩኝ ይችሉ እንደ ነበረ ነው የ ም ገምተው,tr_3326_tr34027,1,8000,5.248
ኢትዮጵያ ና ጅቡቲ የኤርትራ ሸሪክ እንደሆ ን ን አድርገው ማሰብ የ ለ ባቸውም ሲሉ የ ሱዳን መንግስት የ ማስታወቂያ ሚኒስትር የመንግስት ቃል አቀባይ ዶክተር ሳ ላዲን ገለጹ,tr_7475_tr75076,1,8000,12.8
ስለዚህ ተፎካካሪ ው አትሌት ከ የ ት እንደምት ነሳ አያውቅም,tr_3728_tr38029,1,8000,5.12
የ ዳልግሊሽ ፕላን በ ሙሉ ገደል ገባ,tr_3739_tr38040,1,8000,3.584
እሷ ገንዘቡ ን ይዛ ሄዳ ቀረች,tr_6222_tr63023,1,8000,2.944
ተቃዋሚ ሀይሎች እንደሚ ሉት የ ፕሬዚዳንት ኢሳይያስ መንግስት ወደ አንድ ፓርቲ አገዛዝ በ መንሸራተት አምባገነን ነትን የ ኢኮኖሚ ውድቀት ንና ማሀበራዊ ቀውስ ን እ ያመቻቸ ነው,tr_497_tr05097,1,8000,11.392
ሀሳቡ ን አውጋዧ የ ነበረችው እረ ሷ ዋናዋ አራማጅ ሆና አረፈ ችው,tr_10417_tr23119,1,8000,4.352
አስክሬኑ ን የ መለየቱ ስራ ከ ጥርስ ብሩ ሽ ና ከ ማበጠሪያ ላይ በ ተገኙ ናሙና ዎች የሚ ፈጸሙ መሆኑን ባለሙያዎች ይናገራሉ,tr_524_tr06024,1,8000,12.8
የ ወቅቱ የ ኢትዮጵያ ችግር መፍትሄ የ ሚገኘው በ ሰዎች እምነት ተግባር እንቅስቃሴ ውስጥ ብቻ ነው,tr_4193_tr42094,1,8000,6.912
የ ኢትዮጵያ መንግስት ብሄራዊ ፓሊሲ ዎቹን ህግ ና የ ስደተኞች ስራ አመራር መዋቅሮቹ ን እንደ ገና በ መፈተሽ ና በ ማሻሻል ለ ኢትዮጵያ ስደተኞች የሚ ጠቅም አሰራር እንዲ ዘረጋ ተጠየቀ,tr_818_tr09018,1,8000,10.752
የ እኛ ም የ እነርሱ ም የ እነዚያ ም ዛሬ ን በ ትናንት መነጽር ነት ስ ና የ ው ዛሬ ትናንት ነው,tr_3296_tr33097,1,8000,7.936
እያተመ ተመ እ ኮ ነው የሚ ሄደው አንዱን መድሀኒት ሳ ገኝ ሌላው ም ብቅ እያ ለ እንደ ዚያ ነው የ ሚቀጥለው,tr_5408_tr55009,1,8000,6.528
አንዳንዱ ን ደግሞ ቁመቱ ን ልክ እንደ ና ን ተ እንደ ክረን ስታት ፎቅ ቤቶች እያደረግን እና ቆመ ዋለን,tr_7548_tr76049,1,8000,7.04
እስካሁን ግን ከ ኳስ ጋር ትሬ ኒንግ ሰርተው አያውቁ ም,tr_7219_tr73020,1,8000,3.968
ሸክላ ሰሪዋ አ ለሚ ቱ በ ጉልቻ ስራዋ የታወቀች ነች,tr_10383_tr100105,1,8000,4.352
የ አቶ ኢሳያስ የ ደህንነት ሹም ከስራ ተወገዱ,tr_1605_tr17006,1,8000,3.072
የ ሰሜን ምስራቅ ኬንያ ግዛት ኮሚሽነር የሆኑት ሚስተር ሞሪስ መኮ ኑ አራት ሺ ሰባት መቶ ስደተኞች የ ኬንያ ዜጐች እንዳል ሆኑ ተናግረ ዋል,tr_2112_tr22013,1,8000,10.24
በ ነጻው ፕሬስ ውስጥ የሚ ሰሩት እነ እከሌ ናቸው እያሉ ጣት መቀ ሰሩ የሚፈ ይደ ው ነገር የ ለ ም,tr_1755_tr18056,1,8000,7.68
በ ጫት ምክንያት አባት ልጃቸው ን ገደሉ,tr_6392_tr64093,1,8000,3.712
በ አውሮፓ የሚገኙ ክለቦች የ ተጫዋቾ ቻቸውን የ ደሞዝ ልዩነት ሚዛን ሲ ጠብቁ ይታ ያል,tr_6631_tr67032,1,8000,5.888
ሬውተር እንደ ዘገበው ማስጠንቀቅ ያውን ለ ኤርትራ መንግስት የ ላከው የ የመን የውጭ ጉዳይ ሚኒስቴር ነው,tr_557_tr06057,1,8000,7.168
ኢትዮጵያ ም ዴሞክራሲያዊ ስርአት ለ መገንባት የ ጀመረችው ን ጥረት የበለጠ አ ጠንክራ እንድት ገፋበት የሚ ቻለንን ድጋፍ ከ ማድረግ አን ቆጠብ ም በ ማለት አምባሳደሩ የ መንግስታቸው ን አቋም ዳግመኛ አረጋ ግጠዋል,tr_7066_tr71067,1,8000,10.88
የ ኢትዮጵያ መንግስት በ ኤርትራዊ ነት ፈርጆ ታል,tr_5126_tr52027,1,8000,3.968
የ ፓትርያርኩ የ ሮማን ያ ጉዞ ነቀፌታ ን አስከተለ ተቃውሞው ም ነቀፌታ ውም ከተ ጧጧፈ ባቸው አመታት ተቆጥ ረዋል,tr_6761_tr68062,1,8000,8.704
በ ስብሰባው ውስጥ ሁከት ፈጣሪ ዎች ናቸው ያ ሏቸው ን ጥቂት ኢትዮጵያውያ ን ን እንዲ መልስ ላቸው በ ማስጠንቀቅ ተቃወሙ,tr_9267_tr091068,1,8000,7.168
የፖለቲካ ቡድኖች መሪዎች ነን የሚሉ ናቸው ቀንደ ኞቹ ተዋንያን ና መሪ ወንጀለኞች,tr_2393_tr24094,1,8000,10.624
በ ኢትዮጵያ የ ኤድስ ስርጭት በ አመት ሰባት ነጥብ ሶስት ፐርሰንት ያድ ጋል,tr_6113_tr62014,1,8000,6.528
የ ትግርኛ ተናጋሪ ዎቹ ብሄር ተኛነት ዋ ና አንቀሳቃሽ ሞተሩ ባህላዊ ማንነት ነው,tr_4053_tr41054,1,8000,7.04
ቴድሮስ አለ ግዜ ያቸው የ ሞቱ ሰው ናቸው,tr_8727_tr87008,1,8000,4.224
ቤዛ ጐረ መሰ መሰለኝ ትእዛዝ አል ቀበል ም አለ,tr_8322_tr83083,1,8000,4.352
እንደ ተፈለገው ና እንደ ታቀደው ም ጠቅላላ የኤርትራ ራዳር ና ጸረ አውሮፕላን ወደ መንደፈራ ወደ አዲቀይህ ሊ ያተኩር ችሏል,tr_8971_tr89012,1,8000,8.192
ዛሬ ደግሞ ወደ ኢንተር ስፖርት ዞ ሯል,tr_1838_tr19039,1,8000,4.224
አለቃ የጻፏቸው መጽሀፍት ውድ ና ጣፋጭ ከ መሆናቸው የተነሳ በ ህትመታቸው ወቅት ገዝተው ከሚ ጠቀሙ ት ብል ሆች በስተቀር ዘግይተው የ ሚፈልጓቸው ሰዎች አ ያገኟቸው ም,tr_2367_tr24068,1,8000,15.744
የ አፍሪካ ፉትቦል ኮንፌዴሬሽን ሚኒስትር ኦቢንጐ ን የ ጥቅም ተካፋይ ና ለ ጥፋቱ ዋንኛ ተዋንያን ናቸው ብሎ ስላመነ ከ ማንኛውም የ እግር ኳስ እንቅስቃሴ አግ ዷ ቸዋል,tr_5634_tr57035,1,8000,9.856
ፈ ቲያ ሰኢድ ወይዘሪት አዲስ አበባ ተባለች,tr_245_tr03045,1,8000,6.912
ትምህርት መንግስት የመጀመሪያ ሴት ልጇ ን የወለደች ው ከ አንድ የ ካረ ቢያ ን ተወላጅ መሆኑን የደረሰ ን ዜና ያስረዳ ል,tr_5764_tr58065,1,8000,6.656
ተንቀሳቃሽ ጋራዦች ም በ መስመሩ እንዲ ሰማሩ ተደርጓል,tr_8705_tr86106,1,8000,6.016
እውነቱ ን በ ግልጽነት በ መናገራቸው በ ሙያቸው እንዳይ ሰሩ ተ ግፍ ተዋል,tr_3982_tr40083,1,8000,5.12
አኗኗ ራቸው ህግ ና ስርአት እንዲ ኖረው የሚ ጠይቁ አሉ,tr_9882_tr096084,1,8000,4.48
የ ሪያል ማ ዲ ርድ ኮንትራ ቴ የሚያበቃ ው በ ሁለት ሺ ነው,tr_386_tr04086,1,8000,5.504
ወዲያ ው ጣልያኖች ፔናልቲ ሊ ስቱ ችለዋል ና,tr_788_tr08088,1,8000,3.456
ዳሸን ባንክ ህንጻው ን በ ጨረታ አሸንፎ ከ ወሰደ በ ህንጻው ስር ተከራይ ተው የሚሰሩ ድርጅቶች ም ንም እክል እንደማይ ገጥማቸው ም አቶ ልኡል ሰገድ ገልጸዋል,tr_8662_tr86063,1,8000,12.928
ምናልባት በ ትንንሾቹ ኮምፒውተሮች በ ድሮ ሶፍት ዌር የተሰራ ካለ ና ቁጥሩ ባለ ሁለት ዲጂ ት ከሆነ ችግር ይ ኖረዋል,tr_2600_tr27001,1,8000,10.112
ባለፈው እ ትም እረፍት ወስደው የ ነበሩት ን ቋሚ አምደኞ ቻችንን ማለት ጸጋዬ ገብረ መድህን አርአያ ንና ስንሻው ተገኘ ን በዚህ እ ትም እናገኛ ቸዋለን,tr_2750_tr28051,1,8000,9.472
በ ዚያው ምድብ እ ስፓርታክ ሞስኮ ሀገሩ ላይ ስት ሩም ግራዝ ን ያስተናግ ዳል,tr_3584_tr36085,1,8000,6.4
የ ኢትዮጵያ እግር ኳስ ፌዴሬሽን ዘንድሮ የታየ በትን አንዳንድ ድክመት አር ሞ መቅረብ እንደሚ ገባው ነው,tr_6919_tr70020,1,8000,6.272
ይልቁን ም ጉዳዩ ን በ ዜና መልክ ይፋ አድርገው በ መግለጫ ና በ ቴሌቪዥን ዝግጅት የ ውሸት ና በጣም አፍራሽ ፕሮፓጋንዳ ሲ ያደርሱ ብኝ የቆዩት ኦህዲ ድና ኢህአዴግ ናቸው,tr_7960_tr80061,1,8000,10.112
በ እውነቱ የእኔ ን ስራ ለ ማንቋሸሽ ሆን ተብሎ የተወራ ነው,tr_6530_tr66031,1,8000,3.456
ቢ ገባቸው ም ባይገባ ቸውም ኢትዮጵያ ን ማሸነፍ አይችሉ ም,tr_4871_tr49072,1,8000,4.608
ስለ ውሸት ዎ ግን አሁን ም እናዝናለ ን,tr_4470_tr45071,1,8000,4.352
ህዝባችን በ ውሸት ፕሮፓጋንዳ መነ ዳቱ ን ማቆም አለ በት,tr_2996_tr30097,1,8000,4.736
ምንጩ ስደተኞቹ ቤተሰቦች ዞን ሀያ ስድስት በ ተሰኘው ና ለ ኤርትራ ስደተኞች በ ተቋቋመ አዲስ ካምፕ ውስጥ እርዳታ እየ ተደረገላቸው መሆኑን አስረድ ቷል,tr_6027_tr61028,1,8000,10.752
ሁለቱ ባለስልጣናት በ ስብሰባው ላይ ድምጻቸው ን ከፍ አድርገው እስከ መጯጫህ ደርሰው እንደ ነበር የ ውስጥ አዋቂ ምንጮች ገልጠው ልናል,tr_4167_tr42068,1,8000,9.472
በ ቤይሩት በ ሞተች ው እህታቸው ምክንያት ሁለት ወጣቶች እራሳቸው ን ለ መግደል ሞከሩ,tr_1980_tr20081,1,8000,7.04
ቀ ኟን ና ግራዋ ን በ ደንብ ለ ይታ አታውቅም,tr_9180_tr90101,1,8000,4.736
ማክሰኞ ምሽት በ ተደረጉት ግጥሚያ ዎች ባንኮች ብርሀን ና ሰላም ን ሁለት ለ አንድ ሲ ያሸንፍ ታክሲ ና ኒያላ ሳይ ሸ ና ገፉ ሶስት ለ ሶስት ተለያይ ተዋል,tr_236_tr03036,1,8000,12.416
ጨዋታው እንደ ተፈጸመ ከ ጭንቅላቴ ውስጥ ይወጣል,tr_4029_tr41030,1,8000,4.096
ስብሰባዎች ም ላይ ስለ ድመቶች የተለያዩ ሪፖርተሮች ን ለ ዚያድ ባሪ በ ጆሮው እየ ነገረ ያስ ቀዋል,tr_6169_tr62070,1,8000,10.368
የ ኢትዮጵያ የ ህግ ባለሙያ ሴቶች ማህበር ክስ መሰረተ,tr_10056_tr098018,1,8000,3.328
ኢንዲያ ን ኦ ሽን ኒውስ ሌተር የተባለ የ ሚከተለው ን ዘገባ አስ ተላል ፏል,tr_3444_tr35045,1,8000,6.4
እንዲያ ውም ከ መስቀል አደባባይ በ ፖሊስ ሀይል እንዲ ባረሩ ተደርጓል,tr_1504_tr16005,1,8000,4.608
በ ተጨማሪ ም ጠቅላይ ሚኒስትር መለስ ዜናዊ ኢኮኖሚያችን ካለፈ ው የ በጀት አመት በ ስድስት ፐርሰንት ማደጉ ን ገልጸዋል,tr_3845_tr39046,1,8000,8.576
ተ ለምኜ ሄጄ ቤቱ ን ለ ስ ኜ የተከፈለ ኝ ን ገንዘብ እ ዛው አ ባክኜ ባዶ እጄ ን ተመለስኩ,tr_8928_tr88089,1,8000,8.448
እኚህ ጋዜጠኛ በ ኢትዮጵያ አየር ሀይል ውስጥ ያ በሩ የ ነበሩት ፓይለቶች በ ሙሉ ኢትዮጵያዊያ ን እንደ ነበሩ እ ገልጽ ላችኋለሁ በ ወታደራዊ የ አየር ሜዳ ያ የ ኋቸው ፓይለቶች ነበሩ,tr_3562_tr36063,1,8000,12.544
ፈጣሪ ያችን ጉንዳን ከ ቦት እንደ ወደቀ ዛፍ እንዳ ያደርግ ን ተ ግተን መስራት ና መጸለይ ያስ ፈለገ ናል,tr_5371_tr54072,1,8000,5.632
መንገዶች ም በ አብዛኛው ተዘግትው ከ ትራፊክ እንቅስቃሴ ውጭ ሆነው ቆይ ተዋል,tr_1422_tr15023,1,8000,5.76
በ ምንጮቹ መሰረት ከ ደቡባዊ ሶማሊያ ለ ቀዋል የተባሉት የ ኢትዮጵያ መንግስት ወታደሮች ሁለቱ ን ወደሚያ ዋስ ነው ዶሎ የተባለ የ ኢትዮጵያ መሬት ተዘዋው ረዋል,tr_4078_tr41079,1,8000,13.312
ይህ እኔን እንደሚያ ከ ብረኝ ነው የሚ ያሳየው,tr_6138_tr62039,1,8000,4.864
የ ቻይና ህዝብ ሁ ልቆ መሳፍርት የ ለውም,tr_8684_tr86085,1,8000,3.584
እርስዎ ያሉት ን በ ትክክል ለ መጥቀስ ትግሬ ዎች አክሱም አ ላቸው,tr_360_tr04060,1,8000,4.992
ሀላፊው በ ንዴት እንደ ተናገሩት ል ነግራችሁ እችላለሁ,tr_1783_tr18084,1,8000,5.12
ተመድ ለ ኢትዮ ኤርትራ ችግር መፍትሄ ሳይሆን መዋዠቅ ን ይ ዟል,tr_3964_tr40065,1,8000,4.48
የ ኤርትራውያን በ ቅርቡ በ ቡሬ በኩል መባረር የ ጄኔቫ ኮንቬንሽን የሚ ጥስ ነው አላልኩ ም,tr_7563_tr76064,1,8000,6.528
ወደው ጭ ሊ ወጡ የ ተዘጋጁ ሁለት ሺ ሶስት መቶ አርባ ሶስት ኢትዮጵያውያ ን የ ኤድስ ቫይረስ ተገኘባቸው,tr_5423_tr55024,1,8000,5.888
ፊርማቸው ን ያኖሩ ታዋቂ ኢትዮጵያውያ ን ተጋበዙ,tr_6416_tr65017,1,8000,3.584
የ አሜሪካ ፕሬዝዳንት ቢል ክሊንተን የ ሁለቱ ን አገራት ፕሬዝዳንቶች ከ ማንኛውም ቀዳማዊ አጀንዳ በፊት ለ ማገናኘት ወስነዋል,tr_2345_tr24046,1,8000,13.696
በ ስብሰባው እ ለት ከ ኢተፓድ ህ ዋ ና አስተባባሪ ኮሚቴ የ ተጋበዙ የውጭ ልኡካን ተገኝተው ገለጻ እንደሚያደርጉ ታውቋል,tr_4556_tr46057,1,8000,8.576
አምቦ ላይ ሙገር ትራንስ ን ሶስት ለ አንድ አሸን ፏል,tr_5782_tr58083,1,8000,2.944
በ ቅርብ ቀናት ውስጥ እንደሚደርስ ገልጸው ልናል,tr_4085_tr41086,1,8000,3.84
የ ቀድሞው ን የ ራስ መተማመን ባህሪ ያችንን ል ና ገኝ የ ቻልን በት ጨዋታ ነበር,tr_9124_tr90045,1,8000,6.4
የ ኢትዮጵያ ወታደሮች ከ ደቡብ ሶማልያ ወጡ,tr_7241_tr73042,1,8000,3.584
ክረምቱ እርዳታው ን በ ማጓጓዙ ሂደት ላይ እንቅፋት እየፈጠረ ነው,tr_9355_tr092037,1,8000,6.912
በ አጥቂ መስመር ተሰልፎ የሚ ጫወተው አስራ ሁለት ቁጥሩ ከ አማካዮ ች የተሰጠ ውን ኳስ ያለምን ም ጭንቀት ያደርስ የነበረው ለ ጊዮርጊስ ተጫዋቾች ነበር,tr_3867_tr39068,1,8000,10.624
አንዳንድ የ ሶማሊያ አንጃዎች ኦነግ ንና የ ኦጋዴን ብሄራዊ ነጻ አውጭ ግንባር ወደ ሶማሊያ አምጥተ ዋል,tr_313_tr04013,1,8000,6.528
ስ ትመለ ሺ በሩን አንኳ ኲ,tr_10571_tr30132,1,8000,4.352
ፓትርያርኩ ከ ከፊል ተቃዋሚዎቻቸው ጋራ ቅልቅል አደረጉ,tr_8483_tr85004,1,8000,5.12
ሽልማት ከ ውጤት በኋላ ይ ሉናል የዛ ንዚባሩ ደግሞ ቀደመ,tr_1031_tr11032,1,8000,7.04
ፕሮፌሰር አስራት ሰሩ የ ተባለው ወንጀል ነጻ የሚያስ ለቅ ቃቸው እንኳ ን ቢሆን እድሚ ያቸው ና ያደረ ባቸው በሽታ አንዲት ቀን እስር ቤት እንዲ ቆዩ የሚ ያደርጋቸው አልነበረ ም,tr_3171_tr32072,1,8000,11.264
ከ ኢትዮጵያ ውጭ ያሉ ዜጐች መጥተን እንዋጋ አሉ,tr_1869_tr19070,1,8000,4.736
እንኳ ን ተቃዋሚዎች ን ሊ መርጥ ዞር ብሎ አያ ያቸው ም,tr_3703_tr38004,1,8000,5.504
እጀ ጐልዳ ፋው ሰው ዬ መጻፍ አይችልም,tr_9534_tr093096,1,8000,3.712
የዛሬ ውን አ ያድርገው ና ፕሬዚዳንት ኢሳይያስ ኢትዮፕያ በ ሀገሯ የሚገኙ ኤርትራውያን ን ስደተኞች ን ውሰዱ ብላ አታውቅም,tr_3653_tr37054,1,8000,11.52
ኬንያ ደግሞ እስከ ሞያሌ በ መኪና ተ ሸኘ ሁ,tr_8785_tr87066,1,8000,5.248
ሁለት ቮል ቮ የ ጭነት መኪናዎች ተገዝ ተዋል,tr_9054_tr89095,1,8000,3.2
እንዲሁም የ ኢትዮጵያ ኦሎምፒክ ኮሚቴ ለ ኢንተርናሽናል ኦሎምፒክ ኮሚቴ ያ ቀረባቸው ፕሮጀክቶች ተቀባይነት አግኝተው አስፈላጊው ን እገዛ እንዲ ያገኙ አስፈላጊው ን ሁኔታዎች እ ያመቻቸ ይገኛሉ,tr_1966_tr20067,1,8000,13.44
ጣት ሽን አን ቋ ቂው ም አታንቋቂ ውም ማ ንም አላ የ ሽም,tr_10844_tr09118,1,8000,3.328
ህዝቡ ን ሊ ሰባሰብ የሚችል ባቸውን ጥያቄዎች ቀማ,tr_7652_tr77053,1,8000,3.584
ለ ኢትዮጵያውያ ን የ መቶ አመት የ ቤት ስራ ሰጥ ተናቸዋል እያሉ ሲፎክሩ ብን የነበረው ያዘጋጁ ልን ን ወጥመድ ስለሚ ያውቁት ነው,tr_4496_tr45097,1,8000,8.064
ከ መለኮት ተ ሾም ኩ ያሉት ንጉስ መለኮት ሊ ረዳቸው ስለ አልቻለ ወደቁ,tr_2970_tr30071,1,8000,6.016
አንዱ ና ተ ቀዳሚ ባህር ያዊ ይዘቱ መቻቻል በ ተአቅቦ መ ጠባበቅ የ ሚባለው ቶ ለ ራን ስ ነው,tr_2208_tr23009,1,8000,7.04
በ ስደት የ ኢትዮጵያ ኦርቶዶክስ ተዋህዶ ቤተ ክርስቲያን አመራር ጳጉሜ አምስት ቀን የ ሰማእታት ቀን እንዲሆን ወሰኑ,tr_7702_tr78003,1,8000,6.272
ካፍ ሴ ካፍ የሚ ባል ፌዴሬሽን አላውቅ ም,tr_7986_tr80087,1,8000,4.352
እነሱ ገፉት እንጂ በ ማለት ጅቡቲ በ ኢትዮጵያ ትረዳ ለች የሚለው ጥያቄ እንዳስ ገረማቸው ም ገልጠዋል,tr_4145_tr42046,1,8000,7.552
